Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Nelfinavir,Site1,Without_water,-5.9,-9.353
Nelfinavir,Site2,With_water,-11.54,0
Nelfinavir,Site2,With_water,-10.086,0
Nelfinavir,Site2,With_water,-12.45,0
Nelfinavir,Site2,With_water,0,-8.519
Nelfinavir,Site2,Without_water,-11.306,0
Nelfinavir,Site2,Without_water,-11.794,0
Nelfinavir,Site2,Without_water,-12.016,0
Nelfinavir,Site2,Without_water,0,-8.779
Nelfinavir,Site3d,With_water,-10.729,0
Nelfinavir,Site3d,With_water,-10.471,0
Nelfinavir,Site3d,With_water,-10.973,0
Nelfinavir,Site3d,With_water,-9.917,-10.5225
Nelfinavir,Site3d,Without_water,-11.394,0
Nelfinavir,Site3d,Without_water,10.373,0
Nelfinavir,Site3d,Without_water,-10.943,0
Nelfinavir,Site3d,Without_water,-8.701,-5.16625
Nelfinavir,Site3m,With_water,-11.65,0
Nelfinavir,Site3m,With_water,-11.17,0
Nelfinavir,Site3m,With_water,-10.672,0
Nelfinavir,Site3m,With_water,0,-8.373
Nelfinavir,Site3m,Without_water,-11.137,0
Nelfinavir,Site3m,Without_water,-10.87,0
Nelfinavir,Site3m,Without_water,-9.031,0
Nelfinavir,Site3m,Without_water,0,-7.7595
NHC,Site1,With_water,-8.228,0
NHC,Site1,With_water,-7.552,0
NHC,Site1,With_water,-5.931,0
NHC,Site1,With_water,0,-5.42775
NHC,Site1,Without_water,-6.349,0
NHC,Site1,Without_water,-6.3,0
NHC,Site1,Without_water,-5.723,0
NHC,Site1,Without_water,-6.088,-6.115
Oroxylin_A,Site1,With_water,-6.216,0
Oroxylin_A,Site1,With_water,-5.412,0
Oroxylin_A,Site1,With_water,-9.112,0
Oroxylin_A,Site1,With_water,-7.782,-7.1305
Oroxylin_A,Site1,Without_water,-6.453,0
Oroxylin_A,Site1,Without_water,-7.005,0
Oroxylin_A,Site1,Without_water,-8.918,0
Oroxylin_A,Site1,Without_water,-6.379,-7.18875
Oroxylin_A,Site2,With_water,-6.98,0
Oroxylin_A,Site2,With_water,-7.089,0
Oroxylin_A,Site2,With_water,-7.166,0
Oroxylin_A,Site2,With_water,-5.951,-6.7965
Oroxylin_A,Site2,Without_water,-6.901,0
Oroxylin_A,Site2,Without_water,-7.127,0
Oroxylin_A,Site2,Without_water,-6.431,0
Oroxylin_A,Site2,Without_water,0,-5.11475
Oroxylin_A,Site3d,With_water,-6.838,0
Oroxylin_A,Site3d,With_water,-7.111,0
Oroxylin_A,Site3d,With_water,-6.48,0
Oroxylin_A,Site3d,With_water,-7.077,-6.8765
Oroxylin_A,Site3d,Without_water,-10.848,0
Oroxylin_A,Site3d,Without_water,-7.02,0
Oroxylin_A,Site3d,Without_water,-6.9,0
Oroxylin_A,Site3d,Without_water,-6.858,-7.9065
Oroxylin_A,Site3m,With_water,-6.709,0
Oroxylin_A,Site3m,With_water,-7.044,0
Oroxylin_A,Site3m,With_water,-7.093,0
Oroxylin_A,Site3m,With_water,-7.286,-7.033
Oroxylin_A,Site3m,Without_water,-7.295,0
Oroxylin_A,Site3m,Without_water,-6.616,0
Oroxylin_A,Site3m,Without_water,-7.357,0
Oroxylin_A,Site3m,Without_water,-7.346,-7.1535
Quercetin,Site1,With_Water,-9.286,0
Quercetin,Site1,With_Water,-8.622,0
Quercetin,Site1,With_Water,-8.428,0
